[2022/09/19 18:04:15] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 18:04:19] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/20 09:29:53] - 88 	 332.6 	 	 0.0010 	 0.0893 	 0.9697 	 0.9227	 2052.6494 	 0.3434
[2022/09/20 09:36:26] - 89 	 332.6 	 	 0.0010 	 0.0852 	 0.9708 	 0.9223	 2046.6293 	 0.3383
[2022/09/20 09:42:59] - 90 	 332.6 	 	 0.0010 	 0.0814 	 0.9728 	 0.9215	 2028.1620 	 0.3488
[2022/09/20 09:49:33] - 91 	 332.7 	 	 0.0010 	 0.0770 	 0.9745 	 0.9180	 1940.9219 	 0.3613
[2022/09/20 09:56:06] - 92 	 332.7 	 	 0.0010 	 0.0721 	 0.9761 	 0.9203	 1893.3822 	 0.3590
[2022/09/20 10:02:40] - 93 	 332.7 	 	 0.0010 	 0.0713 	 0.9765 	 0.9207	 1834.2480 	 0.3586
[2022/09/20 10:09:13] - 94 	 332.9 	 	 0.0010 	 0.0644 	 0.9788 	 0.9148	 1755.7434 	 0.3629
[2022/09/20 10:15:47] - 95 	 332.7 	 	 0.0010 	 0.0618 	 0.9802 	 0.9203	 1706.2953 	 0.3559
[2022/09/20 10:22:20] - 96 	 332.7 	 	 0.0010 	 0.0565 	 0.9818 	 0.9223	 1603.3253 	 0.3668
[2022/09/20 10:28:54] - 97 	 332.6 	 	 0.0010 	 0.0550 	 0.9829 	 0.9207	 1569.2518 	 0.3656
[2022/09/20 10:35:26] - 98 	 332.5 	 	 0.0010 	 0.0540 	 0.9831 	 0.9230	 1574.2352 	 0.3746
[2022/09/20 10:42:00] - 99 	 332.5 	 	 0.0010 	 0.0528 	 0.9828 	 0.9176	 1574.7224 	 0.3680
[2022/09/20 10:42:00] - Total train time: 547.8286 minutes
[2022/09/20 10:42:00] - Best checkpoint at 98, 0.374609375
